name,pubchem_cid,group,drug_class,formula,canonical_smiles,InChIKey,MW,N_HeavyAtoms,LogP,PSA,HBA,HBD,RBC,NOR,AromRings,Fraction_Csp3,Polarizability_alpha,E_HOMO,E_LUMO,Gap_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega,Real_Vina_Score_kcal_mol,Ligand_Efficiency,Delta_E_ads_Pristine_kcal_mol,Delta_E_ads_Doped_kcal_mol
Trametinib,11707110,Group C - Downstream MAPK / RTK,MEK1/2 Allosteric Inhibitor,C26H23FIN5O4,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,615.4,37,3.94,107.13,5,2,5,5,4,0.231,189.39,-10.3744,-7.9146,2.459749192257,1.2299,0.419,9.1445,-9.1445,33.9954,-5.5,0.149,-18.4,-18.74
Cobimetinib,16222096,Group C - Downstream MAPK / RTK,MEK1/2 Inhibitor,C21H21F3IN3O2,C1CCN[C@@H](C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O,BSMCAPRUBJMWDF-KRWDZBQOSA-N,531.32,30,3.78,64.6,4,3,4,4,2,0.381,158.43,-10.2759,-7.6885,2.587372439058,1.2937,0.405,8.9822,-8.9822,31.1818,-9.12,0.304,-13.47,-14.17
Selumetinib,10127622,Group C - Downstream MAPK / RTK,MEK1/2 Inhibitor,C17H15BrClFN4O3,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,CYOHGALHFOKKQC-UHFFFAOYSA-N,457.69,27,3.53,88.41,5,3,6,3,3,0.176,140.94,-10.0894,-7.8825,2.206923571868,1.1034,0.414,8.9859,-8.9859,36.5886,-7.83,0.29,-10.53,-10.9
Binimetinib,10288191,Group C - Downstream MAPK / RTK,MEK1/2 Inhibitor,C17H15BrF2N4O3,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,ACWZRVQXLIRSDF-UHFFFAOYSA-N,441.23,27,3.01,88.41,5,3,6,3,3,0.176,136.25,-10.1527,-7.8523,2.300404516756,1.1502,0.421,9.0025,-9.0025,35.2308,-6.79,0.252,-9.42,-10.0
Erlotinib,176870,Group C - Downstream MAPK / RTK,EGFR Tyrosine Kinase Inhibitor,C22H23N3O4,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,AAKJLRGGTJKAMG-UHFFFAOYSA-N,393.44,29,3.41,74.73,7,1,10,3,3,0.273,122.63,-9.8167,-7.6905,2.12619016027,1.0631,0.426,8.7536,-8.7536,36.0387,-7.54,0.26,-17.76,-18.26
Larotrectinib,46188928,Group C - Downstream MAPK / RTK,TRK Kinase Inhibitor,C21H22F2N6O2,C1C[C@@H](N(C1)C2=NC3=C(C=NN3C=C2)NC(=O)N4CC[C@@H](C4)O)C5=C(C=CC(=C5)F)F,NYNZQNWKBKUAII-KBXCAEBGSA-N,428.44,31,2.95,86.0,5,2,3,5,3,0.381,132.61,-9.3432,-7.3013,2.041898587488,1.0209,0.424,8.3223,-8.3223,33.9193,-8.59,0.277,-12.29,-12.69
Abemaciclib,46220502,Group C - Downstream MAPK / RTK,CDK4/6 Inhibitor,C27H32F2N8,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,UZWDCWONPYILKI-UHFFFAOYSA-N,506.61,37,4.94,75.0,7,1,7,5,4,0.407,158.38,-9.2147,-7.878,1.336725934511,0.6684,0.429,8.5464,-8.5464,54.6421,-9.75,0.264,-18.0,-17.96
Palbociclib,5330286,Group C - Downstream MAPK / RTK,CDK4/6 Inhibitor,C24H29N7O2,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,AHJRHEGDXFFMBM-UHFFFAOYSA-N,447.54,33,2.97,105.04,8,2,5,5,3,0.458,138.05,-9.5421,-7.928,1.614093795718,0.807,0.41,8.735,-8.735,47.2716,-7.81,0.237,-20.3,-20.42
Gemcitabine,60750,Group D - Cytotoxic Chemotherapy,Deoxycytidine Nucleoside Analogue,C9H11F2N3O4,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,SDUQYLNIPVEERB-QPPQHZFASA-N,263.2,18,-1.29,110.6,6,3,2,2,1,0.556,78.51,-10.8827,-7.7219,3.160790976627,1.5804,0.415,9.3023,-9.3023,27.3769,-6.93,0.385,-12.23,-13.12
5-Fluorouracil,3385,Group D - Cytotoxic Chemotherapy,Thymidylate Synthase Antimetabolite,C4H3FN2O2,C1=C(C(=O)NC(=O)N1)F,GHASVSINZRGABV-UHFFFAOYSA-N,130.08,9,-0.8,65.72,2,2,0,1,1,0.0,40.57,-11.7672,-8.0747,3.692531894268,1.8463,0.441,9.921,-9.921,26.6554,-5.07,0.563,-4.98,-6.96
Capecitabine,60953,Group D - Cytotoxic Chemotherapy,Fluoropyrimidine Carbamate Prodrug,C15H22FN3O6,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,GAGWJHPBXLXJQN-UORFTKCHSA-N,359.35,25,0.76,122.91,7,3,6,2,1,0.667,105.92,-11.2546,-8.35,2.904529843613,1.4523,0.383,9.8023,-9.8023,33.0803,-7.88,0.315,-11.14,-11.39
Irinotecan,60838,Group D - Cytotoxic Chemotherapy,Topoisomerase I Inhibitor,C33H38N4O6,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,UWKQSNNFCGGAFS-XIFFEERXSA-N,586.69,43,4.09,114.2,8,1,4,7,3,0.515,177.71,-9.5144,-8.2624,1.251969222395,0.626,0.391,8.8884,-8.8884,63.102,-7.53,0.175,-18.7,-19.5
Paclitaxel,36314,Group D - Cytotoxic Chemotherapy,Microtubule Stabilizing Taxane,C47H51NO14,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,RCINICONZNJXQF-MZXODVADSA-N,853.92,62,3.74,221.29,14,4,10,7,3,0.447,253.87,-10.6595,-8.0873,2.572138832889,1.2861,0.338,9.3734,-9.3734,34.1578,-4.9,0.079,-30.28,-30.96
Methotrexate,126941,Group D - Cytotoxic Chemotherapy,Dihydrofolate Reductase Antifolate,C20H22N8O5,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,FBOZXECLQNJBKD-ZDUSSCGKSA-N,454.45,33,0.27,210.54,10,5,9,3,3,0.25,140.02,-9.7152,-8.8701,0.845162797984,0.4225,0.376,9.2927,-9.2927,102.1812,-8.12,0.246,-39.17,-39.89
Etoposide,36462,Group D - Cytotoxic Chemotherapy,Topoisomerase II Inhibitor,C29H32O13,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,VJJPUSNTGOMMGY-MRVIYFEKSA-N,588.56,42,1.34,160.83,13,3,5,7,2,0.552,174.74,-9.8386,-6.5151,3.323544033184,1.6617,0.374,8.1768,-8.1768,20.1176,-6.71,0.16,-16.58,-16.67
Doxorubicin,31703,Group D - Cytotoxic Chemotherapy,Anthracycline Topoisomerase II Intercalator,C27H29NO11,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,AOJJSUZBOXZQNB-TZSSRYMLSA-N,543.53,39,0.0,206.07,12,6,5,5,2,0.444,161.9,-10.5374,-8.9587,1.578760331577,0.7893,0.363,9.748,-9.748,60.1916,-5.87,0.15,-17.08,-17.22
Topotecan,60700,Group D - Cytotoxic Chemotherapy,Topoisomerase I Inhibitor,C23H23N3O5,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,UCFGDBYHRUNTLO-QHCPKHFHSA-N,421.45,31,1.85,104.89,7,2,3,5,3,0.348,130.61,-10.4494,-8.2137,2.235683219083,1.1179,0.425,9.3316,-9.3316,38.9488,-6.84,0.221,-16.1,-16.46
Dacarbazine,135398738,Group D - Cytotoxic Chemotherapy,Purine Alkylating Agent,C6H10N6O,CN(C)/N=N/C1=C(NC=N1)C(=O)N,FDKXTQMXEQVLRF-ZHACJKMWSA-N,182.19,13,0.07,99.73,4,2,3,1,1,0.333,55.42,-8.9805,-7.3603,1.62013237139,0.8101,0.405,8.1704,-8.1704,41.202,-5.51,0.424,-23.14,-24.05
Hydroxyurea,3657,Group D - Cytotoxic Chemotherapy,Ribonucleotide Reductase Inhibitor,CH4N2O2,C(=O)(N)NO,VSNHCAURESNICA-UHFFFAOYSA-N,76.05,5,-0.96,75.35,2,3,0,0,0,0.0,21.68,-10.9215,-5.8793,5.042228916508,2.5211,0.412,8.4004,-8.4004,13.9952,-2.86,0.572,-7.51,-9.63
Mitomycin C,5746,Group D - Cytotoxic Chemotherapy,DNA Crosslinking Antibiotic,C15H18N4O5,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,NWIBSHFKIJFRCO-WUDYKRTCSA-N,334.33,24,-1.65,146.89,8,3,3,4,0,0.533,95.28,-10.306,-8.8759,1.430122502542,0.715,0.375,9.5909,-9.5909,64.3216,-7.45,0.311,-23.44,-24.04
Leucovorin,135403648,Group D - Cytotoxic Chemotherapy,Folate Biochemical Modulator,C20H23N7O7,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,VVIAGPKUTFNRDU-ABLWVSNPSA-N,473.45,34,-0.73,219.84,9,7,10,3,2,0.3,141.93,-9.9027,-7.1529,2.749769017611,1.3749,0.363,8.5278,-8.5278,26.4468,-7.57,0.223,-20.81,-20.75
Pemetrexed,135410875,Group D - Cytotoxic Chemotherapy,Multitargeted Antifolate,C20H21N5O6,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O,WBXPDJSOTKVWSJ-ZDUSSCGKSA-N,427.42,31,0.67,191.26,6,6,9,3,3,0.25,132.31,-9.7375,-7.286,2.451484108645,1.2258,0.383,8.5117,-8.5117,29.5533,-7.77,0.251,-17.8,-18.97
Trabectedin,108150,Group D - Cytotoxic Chemotherapy,DNA Minor Groove Alkylator,C39H43N3O11S,CC1=CC2=C([C@@H]3[C@@H]4[C@H]5C6=C(C(=C7C(=C6[C@@H](N4[C@H]([C@H](C2)N3C)O)COC(=O)[C@@]8(CS5)C9=CC(=C(C=C9CCN8)O)OC)OCO7)C)OC(=O)C)C(=C1OC)O,PKVRCIRHQMSYJX-AIFWHQITSA-N,761.85,54,3.41,168.72,15,4,3,10,3,0.487,227.63,-9.5156,-6.9244,2.591182822703,1.2956,0.367,8.22,-8.22,26.0761,-3.05,0.057,-32.47,-33.01
